University Name,Tier,Address,City,State,URL,Admission Portal URL,Application Deadline,College Test,Test Name,CUET Accepted,Fees to Apply (INR),Average Annual UG Fees (INR),Primary Domains,Accreditation / Ranking,Admissions Contact
Manipal Academy of Higher Education (MAHE),1,"Tiger Circle Road, Madhav Nagar, Manipal, Udupi, Karnataka 576104",Manipal,Karnataka,https://manipal.edu,https://apply.manipal.edu,Multiple Rounds (MET 2026 Phase 1 last date ~15 March 2026),Yes,MET (Manipal Entrance Test),Optional,2000 (600 application + 1400 test),250000-500000,"Engineering, Health Sciences, Commerce & Management, Humanities","NAAC A++, NIRF Top 10 (Universities)","admissions@manipal.edu, +91-92437-77733"
Symbiosis International (Deemed University),1,"Symbiosis Knowledge Village, Gram: Lavale, Tal: Mulshi, Pune, Maharashtra 412115",Pune,Maharashtra,https://www.siu.edu.in,https://set-test.org,15 April 2026 (SET 2026 registration),Yes,SET (Symbiosis Entrance Test),No,2000 (per SET form),250000-450000,"Management, Law, Engineering, Liberal Arts, Media","NAAC A++, NIRF Top 50","info@set-test.org, +91-20-28116226"
Vellore Institute of Technology (VIT),1,"Vellore Institute of Technology, Vellore – 632014, Tamil Nadu",Vellore,Tamil Nadu,https://vit.ac.in,https://viteee.vit.ac.in,12 April 2026 (VITEEE 2026),Yes,VITEEE,No,1350,200000-350000,"Engineering, Sciences, Management, Architecture","NAAC A++, NIRF Top 20 (Engineering)","ugadmission@vit.ac.in, +91-416-220 2020"
BITS Pilani (Birla Institute of Technology & Science),1,"BITS Pilani, Vidya Vihar Campus, Pilani, Jhunjhunu District, Rajasthan 333031",Pilani,Rajasthan,https://www.bits-pilani.ac.in,https://admissions.bits-pilani.ac.in,16 March 2026 (BITSAT 2026 Session 1 / Both),Yes,BITSAT,No,"3600 (male, Session 1) / 3100 (female)",450000-600000,"Engineering, Sciences, Pharmacy, Management","NAAC A, Institute of Eminence, NIRF Top 25 (Engineering)","adm-ug@pilani.bits-pilani.ac.in, +91-1596-255294"
Ashoka University,1,"Plot No. 2, Rajiv Gandhi Education City, Sonipat, Haryana 131029",Sonipat,Haryana,https://www.ashoka.edu.in,https://apply.ashoka.edu.in,"Multiple Rounds (next: 22 April 2026, Round 3)",Yes,Ashoka Aptitude Assessment (AAA),Optional,0 (no application fee),900000-1000000 (before scholarships),"Liberal Arts, Sciences, Economics","UGC recognised, reputed private liberal arts university","ugapply@ashoka.edu.in, +91-11-40747565"
O.P. Jindal Global University,1,"Sonipat Narela Road, Near Jagdishpur Village, Sonipat, Haryana 131001",Sonipat,Haryana,https://jgu.edu.in,https://jgu.edu.in/admissions,"Rolling (law JSAT / LSAT / LSAT–India, typical UG deadline ~30 May 2026)",Yes,JSAT / JGLS-LNAT / other tests as per programme,Optional,1000,350000-800000,"Law, Liberal Arts & Humanities, Business, Public Policy, International Affairs","NAAC A, Institution of Eminence; QS World Rankings for Law & Social Sciences","admissions.jgu@jgu.edu.in, +91-70820-02818"
Kalinga University,2,"Kotni, Near New Raipur, Naya Raipur – 492101, Chhattisgarh",Raipur,Chhattisgarh,https://kalingauniversity.ac.in,https://kalingauniversity.ac.in/admissions,30 June 2026 (Phase 2 KALSEE/KAL-MAT tentative),Yes,KALSEE / KAL-MAT,Optional,1000,40000-150000,"Engineering, Law, Management, Pharmacy, Arts & Sciences",UGC-recognised private university,"admissions@kalingauniversity.ac.in, +91-771-426-9200"
"SAGE University, Indore",2,"Rau Pithampur Road, Kailod Kartal, Indore, Madhya Pradesh 452020",Indore,Madhya Pradesh,https://sageuniversity.in,https://admission.sageuniversity.in,25 February 2026 (SEE 2026 Phase 1); multiple rounds,Yes,SEE / SAGE Entrance Exam,Optional,1600,60000-250000,"Engineering, Management, Design, Commerce, Sciences, Arts",NAAC A (Indore campus),"admissions@sageuniversity.in, +91-88891-99999"
Marwadi University,2,"Rajkot-Morbi Road, At & Post Gauridad, Rajkot, Gujarat 360003",Rajkot,Gujarat,https://www.marwadiuniversity.ac.in,https://admissions.marwadiuniversity.ac.in,Rolling; typical BTech GUJCET/ACPC deadlines May–July 2026,"No (uses GUJCET/JEE Main, university processes)",GUJCET / JEE Main,No,"1000 (BTech), 500–1500 other programmes",50000-150000,"Engineering, Management, Sciences, Commerce, Law",NAAC A+ private university,"info@marwadiuniversity.ac.in, +91-281-2569700"
Anurag University,2,"Anurag University, Venkatapur, Ghatkesar, Medchal–Malkajgiri District, Hyderabad, Telangana 500088",Hyderabad,Telangana,https://anurag.edu.in,https://anurag.edu.in/admissions,15 April 2026 (UG admission 2026-27; tentative),Yes,Anurag CET; also TS EAMCET / JEE Main accepted,No,1000-1200 (category-wise),150000-300000,"Engineering, Pharmacy, Agriculture, Allied Health, Management","NAAC A+, UGC-recognised","admissions@anurag.edu.in, +91-7680924460"
